fir_id,district_id,station_id,crime_head,crime_category,ipc_bns_sections,crime_date,crime_time,registration_date,registration_time,latitude,longitude,description,District_Name,District_Population,Station_Name,Station_Type,Station_Jurisdiction_Area,Victim_Count,First_Victim_Name,First_Victim_Gender,First_Victim_Age,Any_Fatal_Injury,Accused_Count,First_Accused_Name,First_Accused_Gender,First_Accused_Age,Any_Absconding,Any_Previous_Record,Witness_Count,Any_High_Reliability_Witness,Primary_Vehicle_Category,Total_Vehicle_Value_INR,Weapon_Count,Primary_Weapon_Type,Any_Unlicensed_Weapon,Cyber_Attack_Vector,Cyber_Target_System,Cyber_Financial_Loss_INR,Cyber_Flag,Economic_Fraud_Type,Economic_Amount_Involved_INR,Economic_Affected_Entity_Type,Evidence_Count,FSL_Sent_Count,Investigation_Actions_Count,Last_Action_Date,First_Action_Date,Investigation_Status,Investigation_Days,Has_ChargeSheet,Court_Name,ChargeSheet_Total_Accused,ChargeSheet_Filing_Date,Has_Judgment,Judgment_Result,Sentence_Details,Sentence_Years,Life_Sentence_Flag,Fine_Amount_INR,Judgment_Date,Court_Type,ChargeSheet_Days,Weapon_Used_Flag,crime_year,crime_month,crime_dayofweek,crime_is_weekend,crime_time_of_day,reporting_delay_days,investigation_duration_days,chargesheet_duration_days,victim_age_group,accused_age_group,description_word_count,description_char_count
FIR-2024-BLR-000011,DIST-000001,PS-000070,Murder,IPC,IPC 302,2024-12-14,06:05:27,2024-12-14,19:48:17,37.933601,157.23272,Incident reported at Krishnan Traffic Police Station regarding Murder. Esse natus sit aut molestias dolorem. Perspiciatis perspiciatis praesentium cupiditate quo natus. Maxime id optio. Repudiandae error quam ea ipsa. Sequi libero qui.,Bengaluru City,13608000,Krishnan Traffic Police Station,Traffic,Krishnan and surrounding areas,1,Yediyurappa Pawar,Male,49,True,1,Puneeth Deshmukh,Male,24,True,False,6,True,Two-Wheeler,230000.0,1,Gelatin Sticks / Detonators,False,Identity Theft,Social Media Profile,142500.0,False,Chit Fund Scam,2800000.0,Government Department,2,2,1,2024-12-17,2024-12-17,IN_PROGRESS,0,True,"Principal District & Sessions Court, DIST-000001",1.0,2024-12-28,True,Pending Trial,Pending,-1.0,False,0.0,2025-01-27,Judicial Magistrate First Class (JMFC),14.0,True,2024,12,Saturday,True,Morning,0,0,14.0,35-49,18-24,32,235
FIR-2024-BLR-000012,DIST-000001,PS-000047,Murder,IPC,IPC 302,2024-05-03,03:41:51,2024-05-05,19:11:31,-17.3384305,-74.885881,Incident reported at Chokshi Law & Order Police Station regarding Murder. Assumenda hic voluptas. Nemo saepe sapiente laborum accusamus officia. Debitis ipsam repudiandae animi. Quaerat eos incidunt unde. Occaecati laudantium reprehenderit enim asperiores quod. Repudiandae quod dolores eveniet fugit voluptatibus nam officiis.,Bengaluru City,13608000,Chokshi Law & Order Police Station,Law & Order,Chokshi and surrounding areas,1,Suresh Shenoy,Male,72,True,4,Kumar Chalavadi,Male,42,False,True,8,True,Two-Wheeler,245000.0,2,0.32 Calibre Revolver,False,SIM Swapping,Personal Email Account,155000.0,False,Real Estate Fraud,3050000.0,Private Corporation,3,2,2,2024-05-14,2024-05-09,COMPLETED,5,True,"Principal District & Sessions Court, DIST-000001",4.0,2024-06-10,True,Pending Trial,Pending,-1.0,False,0.0,2024-07-10,Principal District & Sessions Court,36.0,True,2024,5,Friday,False,Night,2,5,36.0,65+,35-49,42,327
FIR-2024-BLR-000013,DIST-000001,PS-000042,Murder,IPC,IPC 302,2024-11-30,02:50:01,2024-11-30,19:31:48,-32.9766885,-4.148947,Incident reported at Khatri Law & Order Police Station regarding Murder. Voluptate nam ducimus repellat. Voluptate possimus quaerat itaque provident commodi. Dolor commodi laudantium ipsa.,Bengaluru City,13608000,Khatri Law & Order Police Station,Law & Order,Khatri and surrounding areas,1,Chetan Kulkarni,Male,40,True,1,Deepa Pawar,Female,29,False,False,5,True,Two-Wheeler,260000.0,1,9mm Pistol,True,Unauthorized Access / Hacking,Cryptocurrency Wallet,167500.0,False,Bank Loan Fraud,3300000.0,Government Department,2,1,3,2024-12-06,2024-12-01,COMPLETED,5,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,11,Saturday,True,Night,0,5,,35-49,25-34,25,188
FIR-2024-BLR-000014,DIST-000001,PS-000037,Murder,IPC,IPC 302,2024-06-23,09:21:30,2024-06-23,16:05:46,-22.0626735,3.257006,Incident reported at Bhatti Law & Order Police Station regarding Murder. Nemo sint exercitationem modi. Dignissimos illo molestias adipisci necessitatibus voluptatem. Deleniti harum recusandae deserunt quod veritatis. Pariatur aut numquam occaecati nesciunt quam. Fugiat sit ullam veritatis cupiditate magnam consequuntur. Qui sit amet. Quibusdam mollitia nam laudantium inventore natus facilis quidem.,Bengaluru City,13608000,Bhatti Law & Order Police Station,Law & Order,Bhatti and surrounding areas,1,Kumar Bhat,Male,74,True,4,Suresh Shetty,Male,61,False,True,7,True,Four-Wheeler,660000.0,2,Machete (Long Blade),False,Social Media Impersonation,Mobile Banking Application,180000.0,False,Tax Evasion,3550000.0,Private Corporation,2,2,1,2024-06-27,2024-06-27,IN_PROGRESS,0,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,6,Sunday,True,Morning,0,0,,65+,50-64,51,402
FIR-2024-BLR-000015,DIST-000001,PS-000029,Murder,IPC,IPC 302,2024-11-17,07:40:14,2024-11-17,16:59:09,32.4125255,66.315537,Incident reported at Deshpande Traffic Police Station regarding Murder. Sed amet nihil odit hic voluptates omnis molestias. Debitis ipsam deserunt nihil eligendi voluptas. Iure laudantium hic inventore. Animi officiis aut. Excepturi ab tempore esse corrupti quae ex.,Bengaluru City,13608000,Deshpande Traffic Police Station,Traffic,Deshpande and surrounding areas,1,Yediyurappa Chalavadi,Male,66,True,3,Raghu Moger,Male,21,True,True,7,True,Four-Wheeler,675000.0,1,Sword / Talwar,False,Investment / Crypto Scam,Corporate Cloud Server,192500.0,False,Insider Trading,3800000.0,Government Department,2,2,2,2024-11-23,2024-11-22,COMPLETED,1,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,11,Sunday,True,Morning,0,1,,65+,18-24,37,266
FIR-2024-BLR-000016,DIST-000001,PS-000002,Murder,IPC,IPC 302,2024-02-24,16:32:16,2024-02-24,20:02:01,-40.0111085,-159.579431,Incident reported at Modi Law & Order Police Station regarding Murder. Illum dolores quia culpa ab harum. Quisquam aspernatur quod asperiores aliquid at maiores. Asperiores odit ratione voluptas delectus. Fugiat quibusdam ullam est assumenda quasi.,Bengaluru City,13608000,Modi Law & Order Police Station,Law & Order,Modi and surrounding areas,1,Yediyurappa Nayak,Male,47,True,2,Priya Kulkarni,Female,27,False,False,6,True,Four-Wheeler,690000.0,2,Iron Rod / Crowbar,False,Phishing / Vishing,ATM / PoS Terminal,205000.0,False,Corporate Fraud,4050000.0,Private Corporation,3,2,3,2024-03-04,2024-02-26,COMPLETED,7,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,2,Saturday,True,Afternoon,0,7,,35-49,25-34,35,248
FIR-2024-BLR-000017,DIST-000001,PS-000032,Murder,IPC,IPC 302,2024-01-02,21:09:33,2024-01-02,14:09:40,60.1361045,-117.335961,Incident reported at Bengaluru City Cyber Crime (CEN) regarding Murder. Eveniet reprehenderit impedit voluptatem similique dolorem explicabo deserunt. Itaque aliquam placeat mollitia provident voluptate repellat odio. Et voluptate natus. Alias hic nisi recusandae tenetur molestias reiciendis. Exercitationem dignissimos quas eius. Doloribus corrupti nesciunt maiores laboriosam accusamus.,Bengaluru City,13608000,Bengaluru City Cyber Crime (CEN),Cyber Crime (CEN),Ram and surrounding areas,1,Vijay Reddy,Male,35,True,1,Raghu Kamat,Male,27,False,True,7,True,Four-Wheeler,705000.0,1,Gelatin Sticks / Detonators,False,UPI Payment Fraud,E-Commerce Payment Gateway,217500.0,False,Embezzlement / Misappropriation,4300000.0,Government Department,2,1,1,2024-01-07,2024-01-07,IN_PROGRESS,0,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,1,Tuesday,False,Night,0,0,,25-34,25-34,46,389
FIR-2024-BLR-000018,DIST-000001,PS-000084,Murder,IPC,IPC 302,2024-04-16,21:01:33,2024-04-19,13:29:55,66.9399475,-175.423197,Incident reported at Dutta Law & Order Police Station regarding Murder. Maiores doloribus provident magni illum dolore. Repudiandae iure ex doloribus. Similique delectus et magnam maxime asperiores autem consequatur. Cupiditate repellat quae quam. Sed similique fuga non tempore non. Harum dignissimos iure eligendi.,Bengaluru City,13608000,Dutta Law & Order Police Station,Law & Order,Dutta and surrounding areas,1,Sunitha Shetty,Female,62,True,2,Devaraj Joshi,Male,27,False,True,5,True,Auto-Rickshaw,190000.0,2,0.32 Calibre Revolver,True,Ransomware / Malware,Social Media Profile,230000.0,False,Money Laundering,4550000.0,Private Corporation,2,1,2,2024-04-22,2024-04-20,COMPLETED,2,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,4,Tuesday,False,Night,3,2,,50-64,25-34,43,316
FIR-2024-BLR-000019,DIST-000001,PS-000003,Murder,IPC,IPC 302,2024-08-07,02:18:53,2024-08-07,16:06:36,59.635015,-43.502269,Incident reported at Rout Law & Order Police Station regarding Murder. Ipsum amet numquam repellendus veritatis deleniti natus. Laudantium officia architecto incidunt ab laudantium omnis. Assumenda ipsa cupiditate voluptatem. Magni optio veritatis explicabo ut omnis iusto dignissimos. Delectus dolores tempore eius et cumque. Autem veniam odio blanditiis.,Bengaluru City,13608000,Rout Law & Order Police Station,Law & Order,Rout and surrounding areas,1,Sowmya Naidu,Female,25,True,1,Kumar Hegde,Male,27,False,False,7,True,Commercial / LCV,735000.0,1,9mm Pistol,False,Identity Theft,Personal Email Account,242500.0,False,Chit Fund Scam,4800000.0,Government Department,3,2,3,2024-08-19,2024-08-10,COMPLETED,9,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,8,Wednesday,False,Night,0,9,,18-24,25-34,47,356
FIR-2024-BLR-000020,DIST-000001,PS-000056,Murder,IPC,IPC 302,2024-02-09,00:36:14,2024-02-10,16:45:00,29.1073535,156.189832,Incident reported at Dar Law & Order Police Station regarding Murder. Dolorum est dignissimos provident veniam cumque reprehenderit hic. Impedit odio consectetur. Optio nostrum quos. Maxime assumenda eaque enim. Enim facere deleniti debitis.,Bengaluru City,13608000,Dar Law & Order Police Station,Law & Order,Dar and surrounding areas,1,Venkatesh Angadi,Male,66,True,1,Ganesh Deshmukh,Male,22,False,False,6,True,Two-Wheeler,165000.0,1,Machete (Long Blade),False,SIM Swapping,Cryptocurrency Wallet,255000.0,False,Real Estate Fraud,5050000.0,Private Corporation,3,2,1,2024-02-11,2024-02-11,IN_PROGRESS,0,True,"Principal District & Sessions Court, DIST-000001",1.0,2024-03-18,True,Pending Trial,Pending,-1.0,False,0.0,2024-04-17,Chief Judicial Magistrate Court,37.0,True,2024,2,Friday,False,Night,1,0,37.0,65+,18-24,33,241
FIR-2024-BLR-000021,DIST-000001,PS-000070,Murder,IPC,IPC 302,2024-02-24,07:45:46,2024-02-25,04:07:27,-67.165818,-59.716952,Incident reported at Krishnan Traffic Police Station regarding Murder. Quibusdam ex voluptate neque quo. Ipsa doloribus non. Alias cum molestias. Ipsum veritatis animi repudiandae.,Bengaluru City,13608000,Krishnan Traffic Police Station,Traffic,Krishnan and surrounding areas,1,Anand Angadi,Male,58,True,1,Anand Kulkarni,Male,31,False,False,7,True,Two-Wheeler,180000.0,2,Switchblade / Dagger,True,Unauthorized Access / Hacking,Mobile Banking Application,267500.0,False,Bank Loan Fraud,5300000.0,Government Department,2,2,2,2024-03-01,2024-02-27,COMPLETED,3,True,"Principal District & Sessions Court, DIST-000001",1.0,2024-04-03,True,Pending Trial,Pending,-1.0,False,0.0,2024-05-03,Judicial Magistrate First Class (JMFC),38.0,True,2024,2,Saturday,True,Morning,1,3,38.0,50-64,25-34,24,180
FIR-2024-BLR-000022,DIST-000001,PS-000016,Murder,IPC,IPC 302,2024-11-07,20:53:00,2024-11-07,04:46:34,69.8612015,-143.890828,Incident reported at Ramakrishnan Law & Order Police Station regarding Murder. Doloremque amet in aspernatur voluptates modi. Commodi excepturi nam odio. Amet aliquam laboriosam odit quia nulla harum. Sit animi laborum esse quidem rem. Maiores nobis iste perferendis consequatur aut numquam. Cupiditate corporis officiis numquam perferendis blanditiis.,Bengaluru City,13608000,Ramakrishnan Law & Order Police Station,Law & Order,Ramakrishnan and surrounding areas,1,Karthik Patil,Male,60,True,1,Prakash Hegde,Male,21,False,False,7,True,Two-Wheeler,195000.0,1,Iron Rod / Crowbar,False,Social Media Impersonation,Corporate Cloud Server,280000.0,False,Tax Evasion,5550000.0,Private Corporation,3,2,3,2024-11-17,2024-11-11,COMPLETED,6,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,11,Thursday,False,Evening,0,6,,50-64,18-24,47,352
FIR-2024-BLR-000023,DIST-000001,PS-000051,Murder,IPC,IPC 302,2024-07-30,01:43:50,2024-07-31,01:13:26,50.148094,-136.497838,Incident reported at Balakrishnan Law & Order Police Station regarding Murder. Natus excepturi at accusantium. Voluptas nostrum fugit blanditiis. Earum ipsam consequatur tempore laborum nam maxime. Unde totam suscipit hic ipsa.,Bengaluru City,13608000,Balakrishnan Law & Order Police Station,Law & Order,Balakrishnan and surrounding areas,1,Puneeth Hegde,Male,74,True,2,Venkatesh Reddy,Male,20,True,False,7,True,Two-Wheeler,210000.0,2,Wooden Lathi / Club,False,Investment / Crypto Scam,ATM / PoS Terminal,292500.0,False,Insider Trading,5800000.0,Government Department,2,2,1,2024-08-02,2024-08-02,IN_PROGRESS,0,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,7,Tuesday,False,Night,1,0,,65+,18-24,31,227
FIR-2024-BLR-000024,DIST-000001,PS-000078,Murder,IPC,IPC 302,2024-05-02,05:39:26,2024-05-02,14:48:21,75.89949,0.367291,Incident reported at Bal Law & Order Police Station regarding Murder. Recusandae porro corrupti adipisci. Animi quia quos asperiores. Praesentium doloremque animi quod ad harum. Deleniti incidunt porro eveniet. Soluta quos similique provident eos.,Bengaluru City,13608000,Bal Law & Order Police Station,Law & Order,Bal and surrounding areas,1,Anitha Kulkarni,Female,19,True,2,Karthik Kamat,Male,21,False,True,6,True,Four-Wheeler,810000.0,1,0.32 Calibre Revolver,True,Phishing / Vishing,E-Commerce Payment Gateway,305000.0,False,Corporate Fraud,6050000.0,Private Corporation,2,2,2,2024-05-09,2024-05-05,COMPLETED,4,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,5,Thursday,False,Morning,0,4,,18-24,18-24,34,247
FIR-2024-BLR-000025,DIST-000001,PS-000031,Murder,IPC,IPC 302,2024-03-17,16:17:02,2024-03-18,06:56:38,-15.975192,64.142789,Incident reported at Dhaliwal Law & Order Police Station regarding Murder. Consectetur nesciunt architecto. Reiciendis at asperiores consequatur. Labore velit at molestias. Nihil necessitatibus voluptatibus provident non inventore rerum. Dicta commodi nam.,Bengaluru City,13608000,Dhaliwal Law & Order Police Station,Law & Order,Dhaliwal and surrounding areas,1,Yediyurappa Reddy,Male,52,True,1,Puneeth Chalavadi,Male,33,False,False,8,True,Four-Wheeler,825000.0,2,12 Bore DBBL Gun,False,UPI Payment Fraud,Social Media Profile,317500.0,False,Embezzlement / Misappropriation,6300000.0,Government Department,2,2,3,2024-03-26,2024-03-23,COMPLETED,3,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,3,Sunday,True,Afternoon,1,3,,50-64,25-34,32,256
